ingles,traducao_pt
"3 wide, you're on the bottom","Três lado a lado, você tá na parte de baixo"
clear left,Livre à esquerda
clear all around,Pista livre em volta toda
"right, we're out of here. You can pack all this shit up yourself, we've all had enough, mate","Tá, chega, Junta tuas coisas aí, pra gente já deu, parceiro"
"stay away from the crew, they're ready to pull your arms off","Evita o pessoal quando voltar pro box, tão prontos pra te arrancar o volante do braço"
Dick,Palhaço
"it's been one of them weekends. We need to just pack everything up, get away from here, start out fresh next time, work out what went wrong. We've gotta get better","Foi um fim de semana daqueles, vamos recolher tudo, respirar fora daqui e voltar do zero, Precisamos evoluir"
I don't wanna work with you anymore. Fuck off,Eu sinceramente acho melhor seguir caminhos diferentes
"Honestly, I've seen better performances fall out of my arse","Honestamente, já vi manobra mais consistente caindo da cadeira"
"we're all working our asses off here, you got to start delivering. The car's quick and it's solid, and you've got to get your shit together","A equipe inteira suando aqui, o carro tá bom e você precisa começar a entregar, Chega de brincar, hora de focar"
"fucking nightmare weekend, man, nightmare. We'll clear up and clear out, then we'll try and work out what the hell's just happened","Fim de semana péssimo, Vamos limpar tudo, sair daqui e tentar entender que bagunça foi essa"
"fucking useless, just fucking useless. Good car, good team, shit driver. Stop playing racing car and actually make a fucking effort","Difícil, viu, Carro forte, equipe pronta, e essa foi a entrega? Complicado defender"
I've shat better drives than that,Já vi desempenho mais convincente no modo espectador
"well that went well, we're all properly thrilled that you stayed up half the night getting hammered while we worked on the car, just so we could watch you screw it all up in a hungover haze, well done, man","Legal, hein, enquanto a gente virava a noite acertando o carro, você tava na farra, Resultado? Um festival de erro em câmera lenta, Parabéns"
"honestly mate, this is the last weekend we're gonna watch you drive like that. If it doesn't improve, I will buy my own fucking race car","Sendo franco, é a última vez que assisto esse tipo de pilotagem, Se não melhorar, vou pilotar eu mesmo"
"all weekend, just useless, useless. Fucking tired of seeing this, man, we're all tired of seeing it. It's like, it's like just wasting our time","Fim de semana todo foi só frustração, A gente tá cansando, parceiro, Cansando real"
"you've been a shambles all day, man, total shit show. We're all sat here wondering why we bothered","Hoje foi bagunça total, Todo mundo aqui se perguntando por que ainda insiste"
"we were up all night prepping this fucking car, and this is the best you can do? We're not pissing our weekends away to watch you fuck it all up, get your head out of your ass, man","Viramos a madrugada preparando essa máquina, e isso foi o melhor que conseguiu? Não dá, cara"
"You're just hopeless, just absolutely fucking hopeless","Você parece perdido, completamente fora, Difícil"
The fuck was all that? You're just fucking shit,O que foi aquilo ali? Tá na hora de rever tudo
"I think that's the worst you've ever driven, I hope you're proud of yourself","Olha, foi tua pior pilotagem até hoje, Espero que tenha consciência disso"
Absolutely bloody terrible,Lamentável
"right this, this isn't good enough, not by a long shot. I'm starting to wonder why we're bothering here. There's guys finishing way ahead of us who've got half the budget and cars that barely work. You're the weak link.","Desse jeito não dá, Tem gente lá na frente com metade do orçamento e carro torto, e tão rendendo, Tá sobrando peso nesse time"
I've shat better performances than that,Já vi coisa melhor saindo na marcha ré
That was... shit,Foi ruim
"Right, bring it back. If you think can get back to the pits without fucking that up","Traz o carro pro box, Isso se conseguir sem errar mais"
"great, well, there we are, another weekend down the toilet. You might be content to throw your money away, just making up the numbers, but we've got a strong car and a competitive crew here, and we want some results for our hard work","Pronto, Mais um fim de semana no lixo, Se você quer só brincar de competir, tranquilo, mas aqui tem gente querendo resultado"
"this is embarrassing. You've got one job to do, one job. Fumbling around at the back might be a laugh for you, but we are absolutely sick of it. We've got better things we could be doing with our weekends","Vergonhoso, Uma função, e você não entrega, Tamo saturado"
"this really isn't good for morale, we've been busting our asses here, we might as well not have bothered. Look, we need to sit down, and talk properly when you get back to the pits","Isso desmotiva o time, Tá todo mundo dando sangue, e a gente sente como se tivesse perdido tempo, Precisamos conversar sério no box"
You fucking berk,Bicho
fucking useless,Inaceitável
"stay away from the crew when you get back to the pits. They're all really fucking pissed off. I am, too. I mean, it was shit man, really shit, waste of a weekend","Evita o time quando chegar, Tá todo mundo furioso, e com razão, Foi um desperdício de fim de semana"
"what, what the fuck just happened? How'd you manage to fuck it up so badly","O que foi isso, pelo amor? Como conseguiu bagunçar tanto assim?"
there's a slow car in turn 1,Carro lento na curva um
slow car in turn 1,Carro lento na curva um
we've got a slow car in turn 1,Temos um carro lento na curva um
we got a slow car in turn 1,Tem um carro lento na curva um
"okay, we got the lucky dog, let's pass the field to get our lap back","Recebemos o lucky dog, bora passar o pelotão pra recuperar a volta"
"we got the lucky dog, let's get our lap back, pass the field on the left","Conseguimos o lucky dog, bora recuperar a volta, passa o pelotão pela esquerda"
"we are the lucky dog, go ahead, take your lap back","A gente é o lucky dog, segue e pega tua volta de volta"
safety car in this lap,Safety car sai nesta volta
we're going green next time by,Vamos de bandeira verde na próxima
"get ready, race will resume at the end of this lap","Prepara, relargada no fim desta volta"
we think P4 has gone off in,Achamos que o Pê quatro escapou em
looks like P4 has gone off in,Parece que o Pê quatro escapou em
looks like P4 has binned it in,Parece que o Pê quatro rodou em
push so we can pass,Aperta pra gente conseguir ultrapassar
"push hard, we need to pass","Força o ritmo, precisamos passar"
you need to pass,Você precisa passar
we need to pass,Precisamos ultrapassar
we need to get by,A gente precisa passar
"you've passed under yellow flag, you need to give back","Você passou sob bandeira amarela, precisa devolver a posição"
"okay, you've passed under yellow, you need to give back","Atenção, passou sob bandeira amarela, devolve a posição"
"you've passed under yellow, you need to give back","Você passou com amarelo na pista, tem que devolver"
there's a car stopped ahead,Carro parado à frente
we've got a stopped car ahead,Temos um carro parado à frente
there's a stopped car ahead,Carro parado à frente
we still need to give back,Ainda precisamos devolver
we still need to give up,Ainda precisamos ceder
yellow flag in sector 3,Bandeira amarela no setor três
"yellow flag, sector 3","Bandeira amarela, setor três"
sector 3 is yellow,Setor três sob amarela
"incident in sector 3, sector 3 is yellow","Incidente no setor três, bandeira amarela por lá"
there's a slow car in turn 4,Carro lento na curva quatro
we got a slow car in turn 4,Temos um carro lento na curva quatro
slow car in turn 4,Carro lento na curva quatro
"full course yellow, pits are open","Curso completo amarelo, boxes abertos"
pits are open,Boxes abertos
"safety car is out, pits are now open","Safety car na pista, boxes agora abertos"
"you're the leader, you can choose the lane you want to start in","Você é o líder, pode escolher o lado da largada"
"okay, we're the leader, let's choose the lane we're gonna start in","Ok, lideramos, vamos decidir o lado pra largar"
"you are the leader, choose the lane you want to start in","Você é o líder, escolhe o lado que quiser pra relargar"
"we've got a slow car in turn 2, stay high","Tem carro lento na curva dois, fica por fora"
"there's a slow car in turn 2, stay high","Carro lento na curva dois, mantém por fora"
"stay high in turn 2, we've got a slow car","Fica por fora na dois, temos carro lento"
"slow car in turn 2, stay high","Carro lento na curva dois, fica por fora"
car stopped in turn 2,Carro parado na curva dois
there's a car stopped in turn 2,Carro parado na curva dois
we got a car stopped in turn 2,Temos carro parado na curva dois
there's a stopped car in turn 2,Carro parado na curva dois
"full course yellow, lead lap vehicles can now pit","Curso completo amarelo, apenas carros na volta do líder podem parar"
"safety car is out, pits open to lead lap vehicles only","Safety car na pista, boxes abertos só pra quem tá na volta do líder"
there's a car stopped in,Tem carro parado em
we got a car stopped in,Temos carro parado em
"car stopped in turn 1, stay high","Carro parado na curva um, fica por fora"
"there's a car stopped in turn 1, stay high","Tem carro parado na curva um, fica por fora"
"we've got a car stopped in turn 1, stay high","Temos carro parado na curva um, fica por fora"
"there's a stopped car in turn 1, stay high","Carro parado na curva um, mantém por fora"
"yellow flag, safety car phase","Bandeira amarela, fase de safety car"
safety car phase,Fase de safety car
"yellow flag, safety car is out","Bandeira amarela, safety car na pista"
we're running behind the safety car,Estamos atrás do safety car
"the safety car's out, yellow flag","Safety car na pista, bandeira amarela"
"yellow flag, the safety car's out","Amarela, safety na pista"
two more to green,Mais duas até a bandeira verde
two to green,Duas pra verde
"there's a car stopped in the tri-oval, stay high","Carro parado no tri-oval, fica por fora"
"we've got a car stopped in the tri-oval, stay high","Temos um carro parado no tri-oval, mantém por fora"
"car stopped in the tri-oval, stay high","Carro parado no tri-oval, fica por fora"
there's a car stopped in the tri-oval,Carro parado no tri-oval
looks like the leader's binned it in,Parece que o líder rodou em
looks like P1 has gone off in,Parece que o Pê um escapou em
looks like the leader has gone off in,Parece que o líder rodou em
there's a stopped car in turn 4,Carro parado na curva quatro
car stopped in turn 4,Carro parado na curva quatro
we got a car stopped in turn 4,Temos carro parado na curva quatro
there's a car stopped in turn 4,Carro parado na curva quatro
we can overtake this guy,Podemos ultrapassar esse cara
"okay, you can overtake","Ok, pode ultrapassar"
"okay, you're clear to pass","Beleza, tá liberado pra passar"
is the lucky dog,É o lucky dog
safety car in at the end of the next lap,Safety car sai no fim da próxima volta
rare will resume at the end of the next lap,Corrida será retomada no fim da próxima volta
safety car in at end of next lap,Safety car sai ao final da próxima volta
allow the lucky dog to pass on the outside,Deixa o lucky dog passar por fora
on the inside line,Pela linha de dentro
"positions, or we'll be black flagged","Atenção às posições, senão vamos levar bandeira preta"
positions or we'll be penalized,"Posições, senão seremos punidos"
places or we'll get a penalty,Posições ou levamos penalização
"there's a slow car ahead, stay high","Carro lento à frente, mantém por fora"
"stay high, we got a slow car ahead","Fica por fora, temos carro lento à frente"
"we got a slow car ahead, stay high","Temos carro lento à frente, fica por fora"
"slow car ahead, stay high","Carro lento à frente, fica por fora"
to get the lucky dog position,Pra conquistar a posição de lucky dog
so we can get the lucky dog position,Pra gente pegar o lucky dog
to put us in the lucky dog position,Pra garantir o lucky dog
"catch the rear of the field, we've been waved around","Alcança o fim do pelotão, fomos liberados pra dar a volta"
"wave around, catch the rear of the field","Wave around, cola no fim do grid"
"we've been waved around, catch the rear of the field","Liberado wave around, alcança o fim do pelotão"
"wave around, we need to catch the rear of the field","Wave around, temos que colar no fim do grid"
pace car's coming in end of next lap,Pace car entra no fim da próxima volta
race will resume at the end of the next lap,Corrida recomeça no fim da próxima volta
pace car's in at the end of the next lap,Pace car entra no fim da próxima volta
pace car's out,Pace car na pista
"pace car is out, we're under caution","Pace car na pista, estamos sob bandeira amarela"
"pace car's out, we're under caution","Pace car na pista, estamos em regime de atenção"
looks like P4's gone off,Parece que o Pê quatro rodou
I think P4's gone off,Acho que o Pê quatro saiu da pista
we think P4's binned it,"Aparentemente, o Pê quatro rodou feio"
we need to fall back to the end of the longest line for our penalty,"Precisamos cair pro fim da fila mais longa, penalização"
we need to fall back for our end of longest line penalty,Temos que recuar pro fim da fila mais longa pela punição
"okay, we have a penalty, we need to fall back to the end of the longest line","Ok, temos uma penalidade, temos que ir pro final da fila mais longa"
sector 2 is yellow,Setor dois sob amarela
"yellow flag, sector 2","Bandeira amarela, setor dois"
"incident in sector 2, sector 2 is yellow","Incidente no setor dois, está sob bandeira amarela"
yellow flag in sector 2,Bandeira amarela no setor dois
"there's a stopped car ahead, stay high","Tem carro parado à frente, fica por fora"
"you got a car stopped ahead, stay high","Tem carro parado mais à frente, fica por fora"
"there's a car stopped ahead, stay high","Carro parado à frente, segura por fora"
"okay, we'll be the lucky dog, let's keep this position","Ok, a gente é o lucky dog, mantém essa posição"
"we'll be the lucky dog, keep the position","Somos o lucky dog, segura a posição"
we're in the lucky dog position right now,Estamos na posição de lucky dog agora
"we're in the lucky dog position, let's push hard to keep it","Tamo no lucky dog, vamo acelerar pra manter"
"we're in the lucky dog position, let's see if we can keep it","Tamo no lucky dog, vamo ver se conseguimos manter"
green flag sector 2,Bandeira verde no setor dois
sector 2 is clear,Setor dois liberado
"stopped car in turn 2, stay high","Carro parado na curva dois, fica por fora"
"we've got a stopped car in turn 2, stay high","Tem carro parado na curva dois, mantém por fora"
"there's a car stopped in turn 2, stay high","Carro parado na curva dois, fica por fora"
blue flag,Bandeira azul
there's a slow car in the tri-oval,Carro lento no tri-oval
we got a slow car in the tri-oval,Temos carro lento no tri-oval
slow car in the tri-oval,Carro lento no tri-oval
we've got a slow car in the tri-oval,Temos carro lento no tri-oval
"car stopped turn 4, stay high","Carro parado na curva quatro, fica por fora"
"we got a car stopped in turn 4, stay high","Temos carro parado na curva quatro, por fora"
"there's a stopped car in turn 4, stay high","Carro parado na curva quatro, mantém por fora"
"car stopped in turn 4, stay high","Parado na curva quatro, segura por fora"
"there's a car stopped in turn 4, stay high","Tem um carro parado na curva quatro, fica por fora"
we're shown the black flag,Recebemos bandeira preta
black flag,Bandeira preta
"black flag, we're being shown the black flag","Bandeira preta, estamos sendo penalizados"
"full course yellow, pits are closed","Curso completo amarelo, boxes fechados"
"we're under caution, pits closed","Estamos sob bandeira amarela, boxes fechados"
give this place back,Devolve essa posição
"you've passed under yellow, give the place back","Você passou sob bandeira amarela, devolve a posição"
we need to give this place back,Temos que devolver essa posição
have crashed in,Bateram em
have spun off in,Rodaram em
have gone off in,Saíram da pista em
have binned it in,Rodaram forte em
we think P6 has gone off,Achamos que o Pê seis saiu da pista
looks like P6 has gone off,Parece que o Pê seis escapou
looks like P6 has binned it,Parece que o Pê seis rodou feio
there's a big pileup in,Tem um acidente grande em
there's a big mess in,Tem confusão pesada em
yellow flag,Bandeira amarela
"yellow flag, stay sharp","Amarela na pista, atenção total"
stay behind the pace car,Permanece atrás do pace car
we think,A gente acha que
we think that,Acreditamos que
we can see,Conseguimos ver que
"lucky dog, pass the field on the outside","Lucky dog, passa o pelotão por fora"
"we're the lucky dog, pass the field on the outside","Somos o lucky dog, passa por fora"
"pace car's coming in, get ready","Pace car tá vindo, se prepara"
"heads up, prepare for green flag","Atenção, prepara pra bandeira verde"
"be ready, we're going green","Se prepara, vamos relargar"
"pace car's coming in, be ready","Pace car entrando, atenção"
we've got a car stopped in turn 1,Temos um carro parado na curva um
there's a car stopped in turn 1,Carro parado na curva um
we got a stopped car in turn 1,Tem um carro parado na curva um
we've got a car stopped in the tri-oval,Temos um carro parado no tri-oval
we got a car stopped in the tri-oval,Temos carro parado no tri-oval
has gone off,Rodou
has spun off,Rodou sozinho
has crashed,Bateu
has binned it,Saiu feio da pista
has stacked it,Encaixotou tudo
"stay high in turn 1, we got a slow car","Curva um, fica por fora, tem carro lento"
"there's a slow car in turn 1, stay high","Carro lento na curva um, segura por fora"
"slow car in turn 1, stay high","Lento na curva um, fica por fora"
"we got a slow car in turn 1, stay high","Temos carro lento na curva um, segura por fora"
"incident clear, green flag","Incidente limpo, bandeira verde"
"you're clear, incident clear","Tudo limpo, incidente resolvido"
"green flag, all clear","Bandeira verde, tudo livre"
"green flag, you're clear",Verde! Pista limpa
green flag,Bandeira verde
we've got a slow car in,Temos carro lento em
there's a slow car in,Tem carro lento em
we got a slow car in,Tem um carro lento em
"be careful, we got a full course caution","Atenção, bandeira amarela geral"
full course caution,Curso completo atenção
"we got a full course caution, watch out","Curso completo amarelo, atenção"
"full course caution, watch out","Curso completo amarelo, cuidado"
"full course caution, be careful","Curso completo amarelo, atenção redobrada"
looks like P2's gone off,Parece que o Pê dois escapou
we think P2's binned it,A gente acha que o Pê dois rodou
looks like P2's off,Parece que o Pê dois saiu da pista
car stopped in turn 3,Carro parado na curva três
there's a car stopped in turn 3,Tem um carro parado na curva três
we got a car stopped in turn 3,Temos carro parado na curva três
"okay, all sorted","Certo, tudo resolvido"
"okay, we're all good now","Beleza, agora tá tudo certo"
"okay, that's enough","Ok, já deu"
pace car's in this lap,Pace car entra nesta volta
pace car's coming in this lap,Pace car tá vindo nesta volta
has crashed in,Bateu em
has gone off in,Saiu da pista em
has binned it in,Rodou em
has stacked it in,Empilhou tudo em
"slow car in turn 3, stay high","Carro lento na curva três, fica por fora"
"stay high in turn 3, we've got a slow car","Fica por fora na três, temos carro lento"
"there's a slow car in turn 3, stay high","Tem um carro lento na três, segura por fora"
there's a slow car in turn 3,Tem carro lento na curva três
slow car in turn 3,Carro lento na curva três
we got a slow car in turn 3,Temos carro lento na curva três
move to the left or right to choose your lane,Move pra esquerda ou direita pra escolher a faixa
move to the left or to the right to choose your lane,Vai pra esquerda ou pra direita e escolhe tua faixa
move to the left or the right to choose a lane,Escolhe uma das laterais pra definir o lado
move to the left or right to choose a lane,Vai pra esquerda ou direita e escolhe o lado
"safety car's out, pits are closed","Safety car na pista, boxes fechados"
we need to give up one more position,A gente precisa devolver mais uma posição
we still need to give one place back,Ainda temos que devolver uma posição
we need to let this guy through,Temos que deixar esse cara passar
"safety car's coming out, full course yellow","Safety car saindo, Curso completo amarelo"
"safety car's out, full course yellow","Safety car na pista, bandeira amarela geral"
"full course yellow, safety car's coming out","Amarela geral, safety car entrando"
safety car deployed,Safety car acionado
safety car out,Safety car na pista
"safety car's coming out, yellow flag","Safety car vindo, bandeira amarela"
incident in,Incidente em
there's an incident in,Tem um incidente em
"green flag, sector 1",Bandeira verde no setor um
sector 1 is clear,Setor um liberado
white flag,Bandeira branca
"white flag, mate","Bandeira branca, parceiro"
there's a white flag,Bandeira branca na pista
we got a full course yellow,Temos Curso completo amarelo
"full course yellow, be careful","Amarela geral, atenção"
"full course yellow, watch out","Amarela geral, cuidado"
the pace car's in,Pace car entrou
the pace car is in,Pace car está fora
no overtaking,Proibido ultrapassar
no passing,Sem ultrapassagens
we think P6 has binned it in,Achamos que o Pê seis rodou feio em
we think P6 has gone off in,Achamos que o Pê seis escapou em
looks like P6 has gone off in,Parece que o Pê seis saiu da pista em
looks like the leader's gone off,Parece que o líder escapou
looks like the leader's binned it,Parece que o líder rodou
looks like P5's gone off in,Parece que o Pê cinco saiu da pista em
we think P5 has binned it in,Achamos que o Pê cinco rodou forte em
"safety car out, we're under caution","Safety car na pista, estamos em regime de atenção"
"we got double yellows, double yellows","Temos bandeira dupla, atenção"
"double yellow flag, keep an eye out, mate","Bandeira amarela dupla, fica ligado, parceiro"
"double yellows, watch out","Bandeiras amarelas duplas, cuidado"
"yellow flag, watch out","Bandeira amarela, atenção"
"yellow flag, keep your wits about you, mate","Bandeira amarela, concentração total, parceiro"
yellow flag in sector 1,Bandeira amarela no setor um
sector 1 is yellow,Setor um está sob amarela
"incident in sector 1, sector 1 is yellow","Incidente no setor um, setor um com bandeira amarela"
"yellow flag, sector 1",Bandeira amarela no setor um
"watch out for the lucky dog, he's taking his lap back","Olho no lucky dog, tá pegando a volta de volta"
"watch out for the lucky dog, he's taking his lap back now","Atenção com o lucky dog, tá pegando a volta agora"
"lucky dog has taken his lap back, watch out for him","Lucky dog já pegou a volta, cuidado com ele na pista"
we think P5 has gone off,Achamos que o Pê cinco escapou
looks like P5's binned it,Parece que o Pê cinco rodou
we think P5's gone off,Acreditamos que o Pê cinco saiu da pista
you are the lucky dog,Você é o lucky dog
"slow car in turn 4, stay high","Carro lento na curva quatro, fica por fora"
"there's a slow car in turn 4, stay high","Tem um carro lento na curva quatro, fica por fora"
"we got a slow car in turn 4, stay high","Temos carro lento na curva quatro, mantém por fora"
positions,Posições
places,Colocações
sector 3 is clear,Setor três liberado
green flag sector 3,Bandeira verde no setor três
"we're under caution, full course yellow","Estamos em atenção, bandeira amarela geral"
"full course yellow, pace car is out","Curso completo amarelo, pace car na pista"
"we're under caution, the pace car is out","Estamos em atenção, pace car ainda fora"
"full course yellow, we're under caution","Bandeira amarela geral, seguimos sob atenção"
"pace car still out, lead lap cars can pit","Pace car ainda na pista, carros na volta do líder podem parar"
"we're under caution, pits are open to lead lap cars","Estamos sob atenção, boxes abertos só pra quem tá na volta do líder"
"okay, pass this guy, let's get the lucky dog position","Beleza, passa esse cara pra gente pegar o lucky dog"
"push now, we need to pass this guy to get the lucky dog position","Acelera agora, temos que passar esse cara pra garantir o lucky dog"
we need to pass this guy to get the lucky dog position,A gente precisa passar esse piloto pra pegar o lucky dog
"pass this guy, we want the lucky dog position","Passa esse cara, queremos a posição de lucky dog"
"two to green, you were the lucky dog","Duas pra verde, você foi o lucky dog"
"two more to green, you were the lucky dog","Faltam duas pra verde, você foi o lucky dog"
yellow flag ahead,Bandeira amarela à frente
incident up ahead,Incidente logo à frente
"incidents ahead, heads up","Incidentes à frente, atenção"
have spun out,Rodaram
have stacked it,Empilharam tudo
have binned it,Rodaram feio
have gone off,Saíram da pista
have spun off,Deram uma rodada
we've got a slow car in turn 2,Temos um carro lento na curva dois
there's a slow car in turn 2,Tem um carro lento na curva dois
we got a slow car in turn 2,Temos carro lento na curva dois
"get ready, safety car's coming in","Prepara, safety car tá entrando"
"let's pass the pace car, we are waved around","Vamos passar o pace car, fomos liberados pro wave-around"
"okay, they're telling us to pass the pace car to get our wave-around lap back","Ok, instrução pra passar o pace car e recuperar a volta do wave-around"
"okay, we're a wave-around, let's get our lap back","Certo, somos wave-around, vamo pegar essa volta de volta"
"okay, we're a wave-around, pass the pace car, let's get the lap back","Beleza, somos wave-around, passa o pace car e vamos pegar a volta de volta"
"green, green, green, let's go","Verde, verde, verde, vambora!"
"green flag, we're racing","Bandeira verde, tamo correndo!"
"pace car is out, pits are closed","Pace car na pista, boxes fechados"
"we're under caution, pits are closed","Estamos sob atenção, boxes fechados"
we think P3's binned it,A gente acha que o Pê três rodou
P3 has gone off,Pê três saiu da pista
looks like P3's gone off,Parece que o Pê três escapou
it looks like it's,Parece que é
we think it might be,Pode ser que seja
on the outside line,Pela linha de fora
slow car ahead,Carro lento à frente
"car stopped in turn 3, stay high","Carro parado na curva três, fica por fora"
"there's a stopped car in turn 3, stay high","Tem carro parado na curva três, fica por fora"
"stopped car in turn 3, stay high","Parado na curva três, mantém por fora"
"we've got a stopped car in turn 3, stay high","Temos carro parado na curva três, segura por fora"
"we got a car stopped in turn 3, stay high","Tem carro parado na curva três, fica por fora"
we think P2's gone off in,A gente acha que o Pê dois saiu da pista em
we think P2's binned it in,Acreditamos que o Pê dois rodou em
looks like P2's gone off in,Parece que o Pê dois escapou em
"we've got a slow car in the tri-oval, stay high","Temos carro lento no tri-oval, fica por fora"
"there's a slow car in the tri-oval, stay high","Tem carro lento no tri-oval, mantém por fora"
"slow car in the tri-oval, stay high","Carro lento no tri-oval, segura por fora"
we think P3 has binned it in,Achamos que o Pê três rodou em
looks like P3's gone off in,Parece que o Pê três saiu em
we think P3's gone off in,Acreditamos que o Pê três escapou em
"air temp's falling, it's now","A temperatura do ar tá caindo, agora está em"
"air temperature's decreasing, it's now","Temperatura do ar em queda, agora está em"
"air temperature's falling, it's now","Temperatura do ar caindo, agora está em"
we expect medium rain in the next,Esperamos chuva moderada nos próximos minutos
we've got drizzle now and it's drying out,Agora tá garoando e a pista começa a secar
"the rain's almost stopped, just a bit of drizzle now","A chuva tá quase parando, só uma garoinha agora"
"just drizzling now, looks like it'll stop soon","Tá só garoando agora, parece que vai parar logo"
we're seeing a few spots of drizzle now,Tamo vendo uns pinguinhos agora
there's a bit of drizzle starting,Começou uma leve garoa
it's starting to drizzle,Tá começando a garoar
we expect the rain to stop in the next,Esperamos que a chuva pare nos próximos minutos
we expect very heavy rain in the next,Esperamos chuva forte nos próximos minutos
"we're seeing a few spots of rain, seems to be increasing","Tem uns pingos caindo, parece que vai apertar"
"we've got light rain here, getting harder","Tá chovendo fraco aqui, mas tá apertando"
"we've got a bit of rain now, looks like it's getting harder","Temos uma chuvinha agora, mas tá engrossando"
we expect drizzle in the next,Esperamos garoa leve nos próximos minutos
air temp is now,Temperatura do ar agora é
air temperature is now,Temperatura do ar neste momento é
air temperature's now,Temperatura do ar está agora em
fahrenheit,Fahrenheit
it's raining here,Tá chovendo aqui
it's starting to piss down out here,Tá começando a chover mais forte por aqui
we're seeing some rain,Tá começando a cair água
it looks like it's raining,Parece que tá chovendo
we're starting to see some rain,Começamos a ver um pouco de chuva
the track temperature is now,A temperatura da pista agora é
the track temperature's now,Temperatura da pista está agora em
the track temp is now,Temperatura da pista agora é
it stopped raining,Parou de chover
it looks like it stopped raining,Parece que parou de chover
no more rain,Sem mais chuva
it's stopped raining,A chuva parou
"air temp's increasing, it's now","Temperatura do ar subindo, agora está em"
"air temperature's increasing, it's now","Temperatura do ar aumentando, agora está em"
"air temp's rising, it's now","Temperatura do ar em alta, agora está em"
we expect light rain in the next,Esperamos chuva leve nos próximos minutos
"it's raining now, seems to be increasing","Tá chovendo agora, e parece que vai apertar"
"we're getting proper rain now, looks like it's getting harder","Chuva pra valer agora, e deve piorar"
"it's quite rainy now, and getting harder","Tá chovendo bem, e vai apertar"
we expect heavy rain in the next,Esperamos chuva forte nos próximos minutos
the air temp is,Temperatura do ar está em
"it's not raining so heavily now, seems to be improving","A chuva tá mais leve agora, parece que vai melhorar"
the rain's easy right off now,A chuva tá dando uma trégua
"we've got light rain here, it's clearing up","Chuva leve por aqui, tá começando a abrir"
"light rain now, looks like it's getting better","Chuva fraca agora, parece que vai melhorar"
celsius,Celsius
"getting harder, take it easy","Tá apertando, vai com calma"
it's chucking it down now,Agora tá desabando
"it's really raining now, seems to be increasing","Tá chovendo pra valer, e parece que vai piorar"
"this rain's really heavy now, and getting harder, take care","Chuva pesada agora, e tá apertando, cuidado"
"the track temperature's rising, it's now","Temperatura da pista tá subindo, agora está em"
"the track temperature's increasing, it's now","Temperatura da pista aumentando, agora está em"
"the track temp's increasing, it's now","Temperatura da pista aumentando, agora está em"
"the track temperature's falling, it's now","Temperatura da pista em queda, agora está em"
"the track temperature's decreasing, it's now","Temperatura da pista caindo, agora está em"
"the rain's easing now, looks like conditions are improving","Chuva tá diminuindo, parece que as condições vão melhorar"
the track temp is,Temperatura da pista é
we expect to see some rain in the next,Esperamos chuva nos próximos minutos
looks like it's gonna rain in the next,Parece que vai chover daqui a pouco
we expect rain in the next,Esperamos chuva dentro dos próximos minutos
"the rain's absolutely terrible here, be careful","Tá chovendo forte aqui, cuidado"
"it's properly pissing it down here, mate","Tá chovendo pra valer aqui, parceiro"
"it's like a fucking monsoon here, watch out","Isso aqui virou um temporal absurdo, atenção"
air and track temps decreasing,Temperatura do ar e da pista em queda
air and track temps are falling,Ar e pista esfriando
air and track temps are decreasing,Temperaturas de ar e pista diminuindo
air and track temperatures are increasing,Temperatura do ar e da pista subindo
air and track temps are increasing,Ar e pista esquentando
air and track temperatures are rising,Temperaturas de ar e pista aumentando
"it's still really raining, but it seems to be decreasing","Ainda chove bastante, mas tá diminuindo"
"the rain's easing off a bit, but it's still heavy, take care","A chuva tá aliviando, mas ainda tá forte, cuidado"
"it's chucking it down now, but easing off, take it easy","Tá caindo água agora, mas tá começando a aliviar, vai com calma"
we'll fix the rear aero,Vamos consertar a aerodinâmica traseira
we're gonna fix the rear aero,Vamos reparar a parte traseira do aero
we're fixing the rear aero,Estamos reparando a aerodinâmica traseira
wait,Espera
metres,Metros
"acknowledged, we'll change tyres","Confirmado, vamos trocar os pneus"
"understood, we're not gonna fix the aero","Entendido, não vamos consertar a aero"
"acknowledged, we're not gonna fix the aero","Confirmado, não vamos reparar a aero"
"copy that, no aero fixes","Copiado, sem conserto de aero"
"acknowledged, no aero fix at the next pit stop","Confirmado, não vamos mexer na aero no próximo pit"
"copy that, no aero fixes this time","Copiado, sem ajustes de aero desta vez"
"copy that, we'll fix the front aero","Copiado, vamos consertar a aero dianteira"
"okay, we're gonna fix the front aero","Certo, vamos ajustar a frente da aero"
"understood, we're fixing the front aero","Entendido, vamos consertar a parte dianteira da aero"
"acknowledged, we'll fix the front aero only","Confirmado, só vamos ajustar a aero dianteira"
"copy that, we'll fix the front aero only","Copiado, só vamos reparar a frente da aero"
pit window is open,Janela de pit aberta
pit window open,Janela de pit aberta
the pit window is now open,A janela de pit está aberta agora
"we're refueling only, no tyres","Vamos só reabastecer, sem troca de pneus"
"we'll be refueling, we're not changing tyres","Vamos reabastecer, sem trocar pneus"
"we'll be refueling only, no tyres","Só reabastecimento agora, sem pneus"
"no tyres this time, we're refueling only","Sem pneus nesta parada, só vamos reabastecer"
"we'll be refueling, no tyres this time","Vamos reabastecer, sem pneus desta vez"
"acknowledged, we'll change front right only","Confirmado, só vamos trocar o dianteiro direito"
we'll change the front tyres only,Vamos trocar apenas os pneus dianteiros
